api_featured_image,brand,category,currency,description,id,name,price,price_sign,product_api_url,product_link,product_type,website_link,product_colors/colour_name,product_colors/hex_value,no_talc,sugar_free,peanut_free_product,cruelty_free,silicone_free,gluten_free,chemical_free,dairy_free,water_free,hypoallergenic,vegan,ecocert,purpicks,non_gmo,certclean,ewg_verified,oil_free,alcohol_free,canadian,organic,usda_organic,fair_trade,natural,ingredients
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/048/original/open-uri20180708-4-13okqci?1531093614,colourpop,pencil,CAD,"Lippie Pencil A long-wearing and high-intensity lip pencil that glides on easily and prevents feathering. Many of our Lippie Stix have a coordinating Lippie Pencil designed to compliment it perfectly, but feel free to mix and match!",1048,Lippie Pencil,5.0,$,http://makeup-api.herokuapp.com/api/v1/products/1048.json,https://colourpop.com/collections/lippie-pencil,lip_liner,https://colourpop.com,BFF Pencil;951 Pencil;Contempo Pencil;Heart On Pencil;Trixie Pencil;Chi Chi Pencil;Clique Pencil;Frenchie Pencil;Bossy Pencil;Wild Nothing Pencil;Dopey Pencil;Toolips Pencil;Beeper Pencil;Mamacita Pencil;Pitch Pencil;LBB Pencil;Love Bug Pencil;Poison Pencil;Bichette Pencil;Dukes Pencil;Leather Pencil;Bull Chic Pencil;Brink Pencil;Oh Snap Pencil;I Heart This Pencil;Ellarie Pencil;Toy Pencil;BFF Pencil 2;Curvii Pencil;Lumiere Pencil;Bumble Pencil;BFF Pencil 3;Brills Pencil;Are N Be Pencil,#B28378;#A36B5E;#965564;#BF2C7E;#CE435D;#DA6952;#A33C37;#C23D3C;#AF4051;#914B4C;#6D414B;#4D2D28;#966A60;#361927;#714B41;#762F50;#8C4A47;#702E2D;#93283C;#653E44;#5C3357;#242225;#B5716A;#8F5954;#B0516F;#542328;#DFAC9B;#AB7164;#975348;#865B69;#8E474D;#5F2820;#C095BC;#743A6A,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"dimethicone, ceresin, trimethylsiloxysilicate, polyethylene, stearoxy dimethicone, alumina, silica."
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/047/original/open-uri20180708-4-e7idod?1531087336,colourpop,lipstick,CAD,"Blotted Lip Sheer matte lipstick that creates the perfect popsicle pout! Formula is lightweight, matte and buildable for light to medium coverage.",1047,Blotted Lip,5.5,$,http://makeup-api.herokuapp.com/api/v1/products/1047.json,https://colourpop.com/collections/lippie-stix?filter=blotted-lip,lipstick,https://colourpop.com,Bee's Knees;Brain Freeze;Drip;On a Stick;Ice Cube;Lolly;Candyfloss,#b72227;#BB656B;#8E4140;#A12A33;#904550;#452222;#7C3F35,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"cyclopentasiloxane, polyethylene, ethylhexyl stearate, cetyl peg, c10-18 triglycerides, c30-45 alkyl cetearyl dimethicone crosspolymer, ethylhexyl stearate, isohexadecane, flavor, butyrospermum parkii  butter, theobroma cacao  seed butter, prunus armeniaca  kernel oil, fragaria vesca  seed oil, sambucus nigra seed oil, rubus idaeus  seed oil, argania spinosa kernel oil, saccharin, hydrated silica, diethylhexyl syringylidenemalonate, caprylyl glycol, tocopherol, ethylhexyl stearate, phenoxyethanol, cocoyl hydrolyzed collagen, hexylene glycol, caprylic"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/046/original/open-uri20180708-4-1f333k1?1531086651,colourpop,lipstick,CAD,"Lippie Stix Formula contains Vitamin E, Mango, Avocado, and Shea butter for added comfort and moisture. None of our Lippie formulas contain any nasty ingredients like Parabens or Sulfates.",1046,Lippie Stix,5.5,$,http://makeup-api.herokuapp.com/api/v1/products/1046.json,https://colourpop.com/collections/lippie-stix,lipstick,https://colourpop.com,"Fair 05;Ziggie;Goal Digger;After Shock;Little Tings;Ink Blot;Candy Paint;Ellarie;Daydream;Oh Snap;Faded;Bound;Goldie;Party Foul;Parker;Bichette;Sauce;Topanga;Lullaby;Contempo;Heart on;I Heart this Lippie;Tootsi;Love Life;Cookie;Persuasion;Pitch;Leather;Frenchie;Mirror, Mirror;Poison;LBB;Grunge;Bossy;Who Run this;Chi Chi;Trust Me;Poppin';Lumiere;Taurus;Kapish;Aquarius;Brink;Cami;Sike;Fly-Fi",#F2DEC3;#793C36;#B97271;#BA7378;#D68B99;#C07D6B;#A3595E;#5D2318;#C17773;#C08892;#BC6E6B;#CF8D98;#723739;#762554;#B67367;#852528;#B86A82;#B75E59;#EA5151;#C08586;#B82485;#C5314F;#8F6557;#BF3A30;#AF7564;#AA4E79;#442A26;#5C4761;#D12C35;#AB3E61;#621F20;#623343;#864740;#C5282D;#94372D;#DC4A3C;#CB2931;#AB223E;#A05F6A;#763A31;#975450;#9E574D;#C68176;#AA6968;#E28474;#9A2B24,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"bis-diglyceryl polyacyladipate-2, diisopropyl dimer dilinoleate, c10-18 triglycerides, stearyl dimethicone, hydrogenated polyisobutene, lauryl laurate, polyethylene, octyldodecanol, stearoxy dimethicone, nylon-12, disteardimonium hectorite, propylene carbonate, mangifera indica  seed butter, glycerin, tocopherol, persea gratissima  oil, hydrogenated vegetable oil, glycine soja  oil, c12-16 alcohols, butyrospermum parkii, flavor, hydrogenated lecithin, palmitic acid, betaine, momordica grosvenorii fruit extract"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/045/original/open-uri20180708-4-4bvqii?1531074237,colourpop,liquid,CAD,"Developed for the Selfie Age, our buildable full coverage, natural matte foundation delivers flawless looking skin from day-to-night. The oil-free, lightweight formula blends smoothly and is easily customizable to create the coverage you want. Build it up or sheer it out, it was developed with innovative soft-blurring pigments to deliver true color while looking and feeling natural. The lockable pump is easy to use and keeps your routine mess-free! As always, 100% cruelty-free and vegan.",1045,No Filter Foundation,12.0,$,http://makeup-api.herokuapp.com/api/v1/products/1045.json,https://colourpop.com/products/no-filter-matte-foundation,foundation,https://colourpop.com/products/no-filter-matte-foundation,Fair 05;Fair 10;Light 60;Light 65;Light 70;Light 75;Medium 80;Medium 85;Medium 90;Medium 95;Medium 100;Medium 105;Fair 15;Medium 110;Medium Dark 115;Medium Dark 120;Medium Dark 125;Medium Dark 130;Medium Dark 135;Medium Dark 140;Medium Dark 145;Dark 150;Dark 155;Fair 20;Dark 160;Dark 165;Dark 170;Dark 175;Dark 180;Deep Dark 115;Deep Dark 115;Deep Dark 115;Deep Dark 115;Deep Dark 80;Fair 25;Deep Dark 80;Deep Dark 80;Fair 30;Fair 35;Light 45;Light 50;Light 55,#F2DEC3;#F3DAC4;#E9C2A4;#E1B68E;#E4C096;#E0B492;#E0C1A1;#E4C1A9;#E5C6A8;#D3A784;#E2C2A1;#D7B297;#F1D9C0;#D4B194;#DCBFA5;#D7B59A;#C69676;#D9B498;#D9B191;#D1AA90;#BF8E63;#C69B83;#C29879;#EFD2BA;#B99179;#C39981;#B99078;#B6927D;#B38A79;#AC8875;#A07967;#946D5A;#865F4D;#896A5A;#F1D7B3;#795F52;#6B5148;#EDD0B4;#D9B295;#CAA17B;#E8C2A4;#E8C3A6,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"water, cyclopentasiloxane, cyclohexasiloxane, dimethicone, butylene glycol, phenyl trimethicone, glycerin, hydrogenated polyisobutene, silica, peg-10 dimethicone, dimethicone, trimethylsiloxysilicate, synthetic sapphire, polypropylsilsesquioxane, dimethicone, polysorbate 20, disteardimonium hectorite, phenoxyethanol, caprylyl glycol, triethoxycaprylylsilane, potassium sorbate, trisodium edta, hexylene glycol, tocopherol"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/044/original/data?1531071233,boosh,lipstick,CAD,"All of our products are free from lead and heavy metals, parabens, phthalates, artificial colourants, and synthetic fragrances.  Boosh lipstick glides on smoothly for clean & protective SPF coverage. They are filled with hydrating oils and butters to preserve and enhance your lips natural surface. Organic sweet orange oil gives a light and cheerful scent.",1044,Lipstick,26.0,$,http://makeup-api.herokuapp.com/api/v1/products/1044.json,https://www.boosh.ca/collections/all,lipstick,https://www.boosh.ca/,Babs;Bobbie;Leah;Lip Plumping Balm;Luna;Nova;Ruby;Rosie;Ellie;Dahlia;Kat;Brie;Emmy;Dusty rose;Kylie,#CB4975;#B6636F;#C86775;#F8D7D6;#8F6065;#C79289;#9D3F47;#B37072;#C6727C;#AF2257;#573F53;#875672;#BC88A5;#BB8A88;#8D5C58,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"ricinus communis  seed oil, jojoba esters, euphorbia cerifera  wax, butyrospermum parkii  butter, cera alba, d-alpha-tocopherol, citrus aurantium  essential oil"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/043/original/open-uri20180706-4-nszgw9?1530919194,the ordinary,liquid,CAD,Serum Foundations are lightweight medium-coverage formulations available in a comprehensive shade range across 21 shades. These foundations offer moderate coverage that looks natural with a very lightweight serum feel. They are very low in viscosity and are dispensed with the supplied pump or with the optional glass dropper available for purchase separately if preferred.,1043,Serum Foundation,6.7,$,http://makeup-api.herokuapp.com/api/v1/products/1043.json,https://deciem.com/product/rdn-serum-foundation-30-r-30ml,foundation,https://deciem.com/,1.0P;1.0N;2.0N;2.0YG;2.1P;2.1Y;3.0R;3.0Y;3.1R;3.1Y;3.2N;3.2R;1.0NS;3.3N;1.1P;1.1N;1.2N;1.2P;1.2Y;1.2YG;2.0P,#f4e5d6;#f3e8d1;#e5cb9f;#dcc399;#ddb279;#dcad6d;#d59c62;#d19e61;#b3754a;#c28651;#916C4F;#8E6346;#f3e8d1;#664A37;#f2d7ba;#efdbba;#f0d5af;#e5c5a1;#e6c796;#e6c796;#e3be8e,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"cyclopentasiloxane, aqua, caprylyl methicone, coconut alkanes, methyl methacrylate crosspolymer, trimethylsiloxysilicate, peg-9 polydimethylsiloxyethyl dimethicone, coco caprylate/pentaerythrityl adipate, dimethicone, cetyl diglyceryl trissilylethyl dimethicone, dipropylene glycol, tocopherol, polyglyceryl-3 diisostearate, polyglyceryl-3 polyricinoleate, polyglyceryl-4 isostearate, disteardimonium hectorite, hectorite, sodium chloride, hexyl laurate, dimethicone, peg-10 dimethicone, stearic acid, alumina, trisodium ethylenediamine disuccinate, phenoxyethanol, chlorphenesin"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/042/original/open-uri20180706-4-1e74943?1530916234,the ordinary,liquid,CAD,"Coverage Foundations are full-coverage formulations available in a comprehensive shade range across 21 shades. These foundations contain higher pigment levels than our Serum Foundations but still offer a smooth finish that avoids the heavy makeup look that can make skin appear more aged. The texture is that of a lightweight, non-oily cream.",1042,Coverage Foundation,6.9,$,http://makeup-api.herokuapp.com/api/v1/products/1042.json,https://deciem.com/product/rdn-coverage-foundation-33-n-30ml,foundation,https://deciem.com/,1.0P;1.0N;2.0N;2.0YG;2.1P;2.1Y;3.0R;3.0Y;3.1R;3.1Y;3.2N;3.2R;1.0NS;3.3N;1.1P;1.1N;1.2N;1.2P;1.2Y;1.2YG;2.0P,#f4e5d6;#f3e8d1;#e5cb9f;#dcc399;#ddb279;#dcad6d;#d59c62;#d19e61;#b3754a;#c28651;#916C4F;#8E6346;#f3e8d1;#664A37;#f2d7ba;#efdbba;#f0d5af;#e5c5a1;#e6c796;#e6c796;#e3be8e,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"aqua, coconut alkanes, dimethicone, isodecyl neopentanoate, caprylyl methicone, methyl methacrylate crosspolymer, glycerin, trimethylsiloxysilicate, peg-9 polydimethylsiloxyethyl dimethicone, caprylic, dimethicone, coco-caprylate/pentaerythrityl adipate, cetyl diglyceryl trissilylethyl dimethicone, sucrose laurate, dipropylene glycol, polysilicone-11, tocopherol, polyglyceryl-3 diisostearate, polyglyceryl-3 polyricinoleate, disteardimonium hectorite, hectorite, dimethicone, dimethyl isosorbide, sodium chloride, trisodium ethylenediamine disuccinate, phenoxyethanol, chlorphenesin"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/041/original/open-uri20180630-4-1huiv9y?1530390387,zorah biocosmetiques,liquid,USD,"<strong>12 hours of long-lasting</strong> intense color, transfer-free (leaves no trace on crease above the eyelid) <strong>Pure Light Capture®</strong> <strong>minerals</strong> deliver color and radiance. Silky lines and refreshingly light, Pure Argan eyeliner leaves a weightless feel on the eyelids.<p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>98% of the total ingredients are from natural origin 5% of total ingredients are from organic farming",1041,Liquid Liner,0.0,$,http://makeup-api.herokuapp.com/api/v1/products/1041.json,https://www.purpicks.com/product/zorah-biocosmetiques-liquid-liner/,eyeliner,https://purpicks.com/,Black,#000000,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,"water, hydrolyzed corn starch, glyceryl stearate citrate, argania spinosa kernel oil, cucurbita pepo  seed oil, glycerin, silica, copernicia cerifera  wax, hectorite, sodium phytate, sodium citrate, benzyl alcohol, salicylic acid, sorbic acid, dehydroacetic acid, iron oxides – mica – ultramarines – bismuth oxychloride"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/040/original/open-uri20180630-4-1afkyee?1530390386,zorah biocosmetiques,,USD,"<strong>Product Description</strong>Anti-aging formula made with organic Pure Argan oil and Pure Light Capture<sup>®</sup> pigments. 24 Hour crease-free intensity (no build-up increase of eyelid), no running. Pure Light Capture® pigments deliver color and luminosity. Silky and refreshingly light feel, Pure Argan eyeshadow is weightless on the eyelids. Pure Argan eyeshadow <strong>soothes</strong>, <strong>hides redness </strong>and <strong>slows the appearance of the signs of aging on the skin.</strong><p align='LEFT'>Natural cosmetic certified by Ecocert Greenlife according to Ecocert Standard available at: http://cosmetiques.ecocert.com</p>100% of the total ingredients are from natural origin5% of total ingredients are from organic farming",1040,Eyeshadow,0.0,$,http://makeup-api.herokuapp.com/api/v1/products/1040.json,https://www.purpicks.com/product/zorah-eyeshadow/,eyeshadow,https://purpicks.com/,Sahara;Evrest;Casablanca,#966A54;#6B7475;#444446,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,"water, glyceryl stearate citrate, hydrolyzed corn starch, argania spinosa kernel oil, cucurbita pepo  seed oil, cetyl alcohol, glycerin, argilla, silica, alumina, sodium phytate, sodium citrate, dehydroacetic acid, benzyl alcohol, xanthan gum"
//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/039/original/open-uri20180630-4-rfmkzd?1530390386,w3llpeople,powder,USD,"<span style=""font-weight: 400;"">Keep it real with a polished, soft-focus look using this superfine, loose mineral powder. The healing properties of organic aloe help soothe and calm stressed out skin. Instantly minimize pores, soften imperfections, and creates a matte finish with superfine powder. Use by itself for an air-brushed look, or to set foundation for ultra-long wear.</span><span style=""font-weight: 400;"">* Set makeup or by itself for matte air-brushed effect</span><span style=""font-weight: 400;"">* Absorbs excess oil while softening fine lines</span><span style=""font-weight: 400;"">* Organic aloe creates radiant, rejuvenated skin</span><span style=""font-weight: 400;"">* Hypoallergenic, Chemical Free, Cruelty Free &amp; Noncomedogenic </span><span style=""font-weight: 400;"">* EWG Verified for non-toxic health and safety</span><span style=""font-weight: 400;"">* Free From: Parabens, Gluten, GMO, Phthalates, Sulfates, Fragrance, Pheonoxyethanol, Dimethicone, PEG, Propylene Glycol, Butylene Glycol, Lead, Mineral Oil, Talc</span>",1039, Realist Invisible Setting Powder,0.0,$,http://makeup-api.herokuapp.com/api/v1/products/1039.json,https://www.purpicks.com/product/w3llpeople-realist-invisible-setting-powder/,foundation,https://purpicks.com/,Translucent,#E8E6E7,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,"oryza sativa  starch, silica, lauroyl lysine, pearl powder, aloe barbadensis leaf"
